geoid,county,lat,lng,pop
061130112032,Yolo,38.6594477,-121.7888571,907
061130112041,Yolo,38.659329,-121.7794746,1744
061130112042,Yolo,38.6593431,-121.7702211,2137
061130112043,Yolo,38.6592241,-121.756524,2078
061130112071,Yolo,38.6394189,-121.8382065,1157
061130112072,Yolo,38.6791008,-121.8661924,1384
061130112081,Yolo,38.6449826,-121.7388609,1983
061130112082,Yolo,38.6556833,-121.7376289,4818
061130112083,Yolo,38.6758127,-121.6979197,960
061130112091,Yolo,38.673836,-121.7359653,1773
061130112092,Yolo,38.6647449,-121.733756,1763
061130112101,Yolo,38.6655764,-121.7447097,1058
061130112102,Yolo,38.670914,-121.7421174,1519
061130112111,Yolo,38.6668092,-121.7371059,1921
061130113011,Yolo,38.5762605,-122.0429534,883
061130113012,Yolo,38.5743198,-121.909467,1171
061130113021,Yolo,38.5324906,-121.9955376,435
061130113023,Yolo,38.5271484,-121.9793007,3209
061130113031,Yolo,38.515675,-121.9797557,1749
061130113041,Yolo,38.5257239,-121.9612001,1370
061130114001,Yolo,38.7914977,-121.9434365,1357
061130114002,Yolo,38.8611611,-121.8537785,1676
061130114003,Yolo,38.7681719,-121.77288,1146
061130115001,Yolo,38.7811341,-122.2207902,615
061130115002,Yolo,38.8142497,-122.098149,514
061130115003,Yolo,38.6950165,-122.0279584,2113
061130115004,Yolo,38.6846706,-122.0351554,1409
061130115005,Yolo,38.6515724,-121.9550142,1006
060014001001,Alameda,37.8698744,-122.2336204,1975
060014001002,Alameda,37.8571075,-122.2236121,1294
060014002001,Alameda,37.8497451,-122.2488478,948
060014002002,Alameda,37.8465865,-122.2503095,1199
060014003001,Alameda,37.8439848,-122.2486668,1300
060014003002,Alameda,37.8377261,-122.2546898,1707
060014003003,Alameda,37.8404129,-122.2598022,1096
060014003004,Alameda,37.8402856,-122.2541313,1516
060014004001,Alameda,37.8500898,-122.2549722,1249
060014004002,Alameda,37.8448409,-122.2590489,1314
060014004003,Alameda,37.850124,-122.258756,1715
060014005001,Alameda,37.8488953,-122.263197,2225
060014005002,Alameda,37.8465131,-122.2670453,1019
060014005003,Alameda,37.8501477,-122.2673647,705
060014006001,Alameda,37.8432924,-122.264538,1140
060014006002,Alameda,37.8403392,-122.2653325,918
060014007001,Alameda,37.8453741,-122.2731738,1161
060014007002,Alameda,37.8426024,-122.2723537,1703
060014007003,Alameda,37.8403773,-122.2719191,576
060014007004,Alameda,37.8382287,-122.2715499,1318
060014008001,Alameda,37.8481122,-122.284845,1526
060014008002,Alameda,37.845306,-122.2823718,1384
060014008003,Alameda,37.8427178,-122.2823241,1425
060014009001,Alameda,37.8405394,-122.279486,1429
060014009002,Alameda,37.8382454,-122.2810521,1415
060014010001,Alameda,37.8358374,-122.2696518,820
060014010002,Alameda,37.8340002,-122.2711304,1763
060014010003,Alameda,37.8324599,-122.2723196,1249
060014010004,Alameda,37.8291541,-122.269251,377
060014010005,Alameda,37.8266648,-122.2728252,1130
060014010006,Alameda,37.8298623,-122.2746377,938
060014011001,Alameda,37.8342872,-122.2615934,588
060014011002,Alameda,37.8292817,-122.2625471,1565
060014011003,Alameda,37.8252566,-122.2647775,1286
060014011004,Alameda,37.83246,-122.2651732,2098
060014012001,Alameda,37.8337575,-122.2568764,1468
060014012002,Alameda,37.8297224,-122.2578313,746
060014012003,Alameda,37.8257833,-122.259788,780
060014013001,Alameda,37.8209026,-122.2653979,1462
060014013002,Alameda,37.8151809,-122.2698957,1359
060014013003,Alameda,37.8151016,-122.2664711,1787
060014014001,Alameda,37.8241073,-122.2730896,1616
060014014002,Alameda,37.8215161,-122.2739495,2690
060014014003,Alameda,37.8166863,-122.2731129,1086
060014015001,Alameda,37.8252342,-122.2802269,1287
060014015002,Alameda,37.8226985,-122.2806797,897
060014015003,Alameda,37.8208899,-122.2809889,851
060014016001,Alameda,37.8184286,-122.2816672,1294
060014016002,Alameda,37.8158604,-122.281218,1109
060014017001,Alameda,37.811018,-122.3018978,1389
060014017002,Alameda,37.8154492,-122.2948134,805
060014017003,Alameda,37.8211039,-122.3152527,1082
060014018001,Alameda,37.8108844,-122.2971077,809
060014018002,Alameda,37.8080311,-122.29949,900
060014022001,Alameda,37.8106203,-122.2931358,1137
060014022002,Alameda,37.8064756,-122.2955189,600
060014022003,Alameda,37.804302,-122.2977879,600
060014024001,Alameda,37.8134127,-122.2819507,1106
060014024002,Alameda,37.8103981,-122.2830561,1517
060014025001,Alameda,37.8066561,-122.2844438,1190
060014025002,Alameda,37.8033357,-122.285651,820
060014026001,Alameda,37.80427,-122.2799551,1300
060014027001,Alameda,37.8098183,-122.2757415,789
060014027002,Alameda,37.8108456,-122.2784518,1250
060014028011,Alameda,37.8092309,-122.2704633,965
060014028012,Alameda,37.811034,-122.2713877,1044
060014028013,Alameda,37.8100032,-122.2715022,1245
060014028021,Alameda,37.8063319,-122.2729948,457
060014028022,Alameda,37.8078637,-122.2742526,973
060014029001,Alameda,37.8075597,-122.2668062,964
060014029002,Alameda,37.8044408,-122.2659507,864
060014030001,Alameda,37.799161,-122.2730096,1017
060014030002,Alameda,37.7999674,-122.2694817,1014
060014030003,Alameda,37.8021616,-122.2711064,866
060014031001,Alameda,37.8035673,-122.2747045,917
060014031002,Alameda,37.800534,-122.2765731,1024
060014033011,Alameda,37.7993524,-122.2661738,637
060014033012,Alameda,37.7970739,-122.2676025,1193
060014033021,Alameda,37.7950223,-122.2686538,690
060014033022,Alameda,37.793457,-122.2658037,1075
060014033023,Alameda,37.7936467,-122.2699283,791
060014034011,Alameda,37.8048894,-122.258038,904
060014034012,Alameda,37.8031134,-122.2638311,911
060014034013,Alameda,37.8026482,-122.2626597,902
060014034021,Alameda,37.8010931,-122.2651074,30
060014034022,Alameda,37.8035766,-122.2650187,1104
060014035011,Alameda,37.8151725,-122.2609409,1041
060014035012,Alameda,37.8191889,-122.2588125,1904
060014035013,Alameda,37.8221908,-122.2569921,638
060014035014,Alameda,37.8138123,-122.2635494,1321
060014035021,Alameda,37.814361,-122.2588772,852
060014035022,Alameda,37.8170927,-122.2555757,1067
060014036001,Alameda,37.8115076,-122.2533284,798
060014036002,Alameda,37.813221,-122.2564599,1239
060014036003,Alameda,37.8141039,-122.2525613,3019
060014037011,Alameda,37.8120365,-122.2594523,1566
060014037012,Alameda,37.8105269,-122.2580095,1343
060014037021,Alameda,37.8098411,-122.2501236,698
060014037022,Alameda,37.8090927,-122.2544186,1540
060014038001,Alameda,37.8157941,-122.2363634,704
060014038002,Alameda,37.8137422,-122.2418254,802
060014038003,Alameda,37.8117793,-122.2457459,808
060014038004,Alameda,37.8164158,-122.2430377,1694
060014039001,Alameda,37.8196019,-122.2484272,1200
060014039002,Alameda,37.8165263,-122.2473696,1054
060014039003,Alameda,37.8156264,-122.249936,1629
060014040001,Alameda,37.8208762,-122.2526402,849
060014040002,Alameda,37.8243732,-122.2548852,1135
060014040003,Alameda,37.8221638,-122.2496767,1161
060014041011,Alameda,37.8301393,-122.2474773,1194
060014041012,Alameda,37.8287913,-122.2524706,1160
060014041013,Alameda,37.83195,-122.2528419,854
060014041021,Alameda,37.8256585,-122.2498624,1809
060014041022,Alameda,37.8266684,-122.2532097,892
060014042001,Alameda,37.8399182,-122.2280405,1103
060014042002,Alameda,37.8378421,-122.2283838,1509
060014042003,Alameda,37.8348758,-122.2372751,1282
060014043001,Alameda,37.8477092,-122.2350115,1225
060014043002,Alameda,37.844708,-122.2411377,1005
060014043003,Alameda,37.8411985,-122.2426188,1357
060014044001,Alameda,37.8485044,-122.2188872,1923
060014044002,Alameda,37.8372023,-122.217035,1370
060014044003,Alameda,37.8451248,-122.207617,1834
060014044004,Alameda,37.8567446,-122.2200772,696
060014045011,Alameda,37.8262546,-122.2157422,1820
060014045021,Alameda,37.8405522,-122.20378,1055
060014045022,Alameda,37.8353471,-122.2066626,1797
060014045023,Alameda,37.8369357,-122.1943401,1713
060014045024,Alameda,37.8295259,-122.2055206,1545
060014046001,Alameda,37.8300292,-122.1936791,1014
060014046002,Alameda,37.8293897,-122.1902062,705
060014046003,Alameda,37.823508,-122.1922299,1346
060014046004,Alameda,37.8160013,-122.1906497,1869
060014047001,Alameda,37.8146109,-122.2091035,1014
060014047002,Alameda,37.8120753,-122.2048868,1173
060014048001,Alameda,37.8036799,-122.2120882,1295
060014048002,Alameda,37.8067164,-122.2139291,1449
060014049001,Alameda,37.8078487,-122.2171907,1095
060014049002,Alameda,37.8018564,-122.2191471,1248
060014049003,Alameda,37.8017903,-122.2252349,1279
060014049004,Alameda,37.8048105,-122.2238912,1047
060014050001,Alameda,37.8104871,-122.2191725,1045
060014050002,Alameda,37.8093474,-122.2236159,1261
060014050003,Alameda,37.8065981,-122.2340361,1359
060014051001,Alameda,37.8111,-122.2261253,950
060014051002,Alameda,37.8097578,-122.2318657,687
060014051003,Alameda,37.8097878,-122.2378241,1158
060014051004,Alameda,37.8130578,-122.2374516,716
060014051005,Alameda,37.8136443,-122.2308638,997
060014052001,Alameda,37.8047435,-122.2391565,1554
060014052002,Alameda,37.8028717,-122.2465026,1219
060014052003,Alameda,37.8060372,-122.2447114,806
060014052004,Alameda,37.8075667,-122.2471899,1334
060014053011,Alameda,37.8036426,-122.2512282,799
060014053012,Alameda,37.8010675,-122.2526572,1232
060014053013,Alameda,37.8015756,-122.2501966,841
060014053021,Alameda,37.7990812,-122.2555434,1130
060014053022,Alameda,37.7978218,-122.2528439,1429
060014054011,Alameda,37.7979937,-122.2480327,1606
060014054012,Alameda,37.7962801,-122.2494375,1059
060014054013,Alameda,37.7949596,-122.2512816,876
060014054021,Alameda,37.7926845,-122.2470105,2222
060014054022,Alameda,37.7946442,-122.2442564,1451
060014055001,Alameda,37.7958758,-122.2406571,836
060014055002,Alameda,37.7973426,-122.2423227,910
060014055003,Alameda,37.7988209,-122.2439761,705
060014055004,Alameda,37.8004656,-122.2455204,1086
060014056001,Alameda,37.8024919,-122.2343274,472
060014056002,Alameda,37.799495,-122.2371528,928
060014056003,Alameda,37.801018,-122.2401072,1644
060014057001,Alameda,37.8000789,-122.2292722,1603
060014057002,Alameda,37.7963035,-122.2274599,1083
060014057003,Alameda,37.7976538,-122.2316951,836
060014058001,Alameda,37.7920943,-122.2300626,677
060014058002,Alameda,37.7934584,-122.2326243,1504
060014058003,Alameda,37.7948343,-122.2346885,1376
060014058004,Alameda,37.7963898,-122.2365061,625
060014059011,Alameda,37.7857644,-122.2376227,1365
060014059012,Alameda,37.7895046,-122.2342697,1252
060014059013,Alameda,37.7873975,-122.2360207,1140
060014059021,Alameda,37.7926008,-122.2389875,1630
060014059022,Alameda,37.7897928,-122.2423201,1508
060014060001,Alameda,37.784684,-122.249216,985
060014060002,Alameda,37.7927548,-122.2551403,1069
060014060003,Alameda,37.7967379,-122.2574356,804
060014060004,Alameda,37.7940318,-122.2544126,1877
060014061001,Alameda,37.7749385,-122.2247918,1230
060014061002,Alameda,37.7701168,-122.2242759,868
060014061003,Alameda,37.7724686,-122.2324774,1820
060014061004,Alameda,37.7792469,-122.2339887,1021
060014062011,Alameda,37.7869532,-122.2288343,1669
060014062012,Alameda,37.7857599,-122.2314482,612
060014062013,Alameda,37.7841568,-122.2303334,1770
060014062014,Alameda,37.7828831,-122.2329093,1021
060014062021,Alameda,37.7832541,-122.2278463,1240
060014062022,Alameda,37.780027,-122.2280221,1583
060014062023,Alameda,37.7829036,-122.2251277,1910
060014063001,Alameda,37.787945,-122.2221552,1045
060014063002,Alameda,37.7883078,-122.2248611,1112
060014063003,Alameda,37.7907421,-122.2253856,1320
060014063004,Alameda,37.7904803,-122.22809,1079
060014064001,Alameda,37.7948976,-122.2192368,615
060014064002,Alameda,37.7957803,-122.2227433,1983
060014065001,Alameda,37.7908593,-122.2158151,2399
060014065002,Alameda,37.787772,-122.2130574,758
060014065003,Alameda,37.7852273,-122.218786,1831
060014065004,Alameda,37.7886553,-122.2186819,1506
060014066011,Alameda,37.7911941,-122.2078694,752
060014066012,Alameda,37.7921873,-122.211091,1569
060014066013,Alameda,37.7960362,-122.2081112,1081
060014066014,Alameda,37.7938023,-122.2042486,1129
060014066021,Alameda,37.797531,-122.2137966,1196
060014066022,Alameda,37.794129,-122.2154466,1344
060014067001,Alameda,37.8054443,-122.1985069,1583
060014067002,Alameda,37.799558,-122.2007395,488
060014067003,Alameda,37.7998603,-122.2073513,1987
060014067004,Alameda,37.803156,-122.2040761,800
